Sequence,survey.status,dev.status,ecosystem,my.eco.role,my.eco.years,value.eco.stability,value.eco.innovation,value.eco.replicability,value.eco.compatibility,value.eco.rapid.access,value.eco.quality,value.eco.commerce,value.eco.community,value.eco.openness,value.eco.curation,value.eco.fun,value.eco.confidence,power.eco.endusers,power.eco.devs,power.eco.leaders,power.eco.gatekeepers,power.eco.sponsors,power.fair,health.eco.not.recruit,health.eco.leave,health.eco.not.innov,health.eco.isolated,health.eco.not.diverse,health.eco.unstable,health.eco.similar,health.eco.low.quality,health.eco.not.rapid,health.eco.dllhell,health.eco.not.democratic,health.eco.not.commercial,my.package.named,my.is.submitted,my.has.revdeps,package.default,value.my.stability,value.my.innovation,value.my.replicability,value.my.compatibility,value.my.rapid.access,value.my.quality,value.my.commerce,value.my.community,value.my.openness,value.my.curation,value.my.fun,change.dep.freq,change.pkg.freq,rel.batch,rel.backcompat.design,rel.fixed.schedule,sync.sched,rel.backcompat.extra.time,upgr.backport,rel.constrained.from.changes,know.users.needs,mon.semver.eco,mon.versionless.updates.eco,sync.sched.eco,gate.strict.standards.eco,mon.versionless.updates,mon.semver,mon.change.log,sync.headsup,rework.migration.guide,rework.assist.user,sync.liaison,sync.liaison.code,sync.liaison.freq,mon.internal.media,mon.external.media,mon.personal.contact,mon.tool.notify,mon.something.breaks,upgr.packrat,upgr.packrat.eco,abst.research,abst.dep.aversion,upgr.dont.update,abst.shim,abst.clone,rework.hell,education,oss.experience,dev.experience,motive.intq1.satisfaction,motive.intq2.goodat,motive.intq3.fun,motive.intq4.achieve,motive.int,motive.staq1.skill,motive.staq2.work.status,motive.staq3.opportunity,motive.staq4.cmnty.status,motive.sta,motive.uv,motive.uvq1.fix.bug,motive.uvq2.add.feature,motive.job
11,finished,user,other,lead,5+ years,Extremely important,Important,Very Important,Extremely important,Important,Somewhat Important,Not Important,I don't know,I don't know,Very Important,Very Important,Confident,Medium influence,Highest influence,Medium influence,I don't know/Not Applicable,Highest influence,Neither agree nor disagree,Somewhat disagree,I don't know,Strongly disagree,Somewhat agree,I don't know,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly disagree,Neither agree nor disagree,I don't know,Somewhat disagree,TRUE,self-published,no rev dependencies,NA,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Not Important,Important,Extremely important,Extremely important,Extremely important,Less than once a year,Skipped,NA,NA,NA,NA,NA,NA,NA,NA,I don't know,Somewhat agree,Neither agree nor disagree,Strongly disagree,NA,NA,NA,NA,NA,NA,No,No,Never,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly disagree,Just name,Version range,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,None,5+ years,5+ years,Great importance,Great importance,Great importance,Great importance,14.5,(mid importance),(mid-low importance),Great importance,(mid importance),9.09,6.75,(mid-hi importance),Great importance,(mid-low importance)
12,finished,developer,Node.js/NPM,lead,<5 years,Somewhat Important,Extremely important,Very Important,Important,Very Important,Extremely important,Somewhat Important,Important,Extremely important,Important,Very Important,Confident,Medium influence,Highest influence,High influence,Low influence,Lowest influence,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,TRUE,self-published,has rev dependencies,default package,Extremely important,Somewhat Important,Very Important,Important,Important,Extremely important,Somewhat Important,Very Important,Important,Extremely important,Very Important,Several times a year,Several times a year,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Yes,Yes,Several times a year,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Version range,Version range,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Degree,5+ years,5+ years,Great importance,Great importance,Great importance,Great importance,14.5,Great importance,Great importance,Great importance,Great importance,13.85,7.75,Great importance,Great importance,Great importance
13,finished,user,Node.js/NPM,user,<5 years,Somewhat Important,Very Important,Important,Not Important,Important,Somewhat Important,Not Important,Very Important,Very Important,Not Important,Somewhat Important,Slightly confident,Medium influence,High influence,Highest influence,Lowest influence,Medium influence,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,TRUE,self-published,no rev dependencies,NA,Important,Not Important,Very Important,Extremely important,Very Important,Extremely important,Not Important,Not Important,Not Important,Not Important,Important,Several times a year,Skipped,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,NA,NA,NA,NA,NA,NA,No,No,Never,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Just name,Version range,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Degree,5+ years,5+ years,Little importance,Great importance,(mid-hi importance),Little importance,7.87,(mid-low importance),(mid importance),(mid importance),Little importance,6.3,4.65,(mid importance),(mid importance),Great importance
14,finished,user,Node.js/NPM,committer,<5 years,Extremely important,Important,Somewhat Important,Very Important,Somewhat Important,Extremely important,Important,Extremely important,Extremely important,Extremely important,Very Important,Confident,Lowest influence,Highest influence,I don't know/Not Applicable,I don't know/Not Applicable,Medium influence,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,I don't know,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,I don't know,Strongly disagree,TRUE,in repo,no rev dependencies,NA,Extremely important,Important,Very Important,Extremely important,Somewhat Important,Extremely important,Extremely important,Important,Not Important,Extremely important,Somewhat Important,Less than once a year,Skipped,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree,NA,NA,NA,NA,NA,NA,Yes,Yes,Less than once a year,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Exact version number,Version range,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Neither agree nor disagree,Coursework,<5 years,<5 years,Great importance,Great importance,Great importance,(mid-low importance),12.37,Little importance,Little importance,(mid importance),Little importance,4.25,6.75,(mid-hi importance),Great importance,Great importance
15,finished,developer,Node.js/NPM,central,<5 years,Not Important,Very Important,Not Important,Important,Extremely important,Not Important,Very Important,Extremely important,Extremely important,Not Important,Very Important,Confident,Lowest influence,High influence,Highest influence,I don't know/Not Applicable,Medium influence,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,TRUE,in repo,has rev dependencies,installable package,Very Important,Very Important,Not Important,Extremely important,Extremely important,Extremely important,Somewhat Important,Important,Not Important,Very Important,Very Important,Several times a year,Less than once a year,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Yes,Yes,Several times a month,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Exact version number,Version range,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Coursework,<5 years,<5 years,Great importance,Great importance,Great importance,Great importance,14.5,Great importance,(mid-low importance),(mid importance),(mid-hi importance),9.59,3.1,(mid-low importance),(mid-low importance),Little importance
16,finished,user,Node.js/NPM,lead,<5 years,Not Important,Extremely important,Important,Somewhat Important,Important,Not Important,Important,Very Important,Important,Important,Very Important,Confident,Low influence,Medium influence,High influence,Medium influence,Highest influence,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,TRUE,in repo,no rev dependencies,NA,Somewhat Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Very Important,Less than once a year,Skipped,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,NA,NA,NA,NA,NA,NA,No,No,Never,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat agree,Version range,Version range,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Degree,<5 years,<5 years,Great importance,Great importance,Great importance,Great importance,14.5,(mid-low importance),(mid-low importance),(mid-hi importance),(mid importance),7.7,7.75,Great importance,Great importance,(mid-low importance)
17,finished,developer,Python/PyPi,lead,<5 years,Extremely important,Somewhat Important,Very Important,Not Important,Extremely important,Extremely important,Somewhat Important,Important,Important,Extremely important,Extremely important,Very confident,Medium influence,Highest influence,High influence,Lowest influence,Medium influence,Somewhat agree,I don't know,I don't know,Somewhat agree,Somewhat agree,I don't know,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,I don't know,TRUE,in repo,has rev dependencies,installable package,Very Important,Very Important,Somewhat Important,Not Important,Very Important,Extremely important,Not Important,Extremely important,Very Important,Very Important,Extremely important,Never,Never,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,I don't know,I don't know,I don't know,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,No,No,Never,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly agree,Exact version number,Exact version number,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,None,<5 years,<5 years,Great importance,Great importance,Great importance,Great importance,14.5,(mid-hi importance),Little importance,(mid-low importance),Little importance,5.46,7.75,Great importance,Great importance,(mid-hi importance)
18,finished,developer,Rust/Cargo,committer,<5 years,Extremely important,Somewhat Important,Very Important,Somewhat Important,Somewhat Important,Very Important,Not Important,Very Important,Important,Somewhat Important,Somewhat Important,Slightly confident,Low influence,High influence,Highest influence,I don't know/Not Applicable,Low influence,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,TRUE,in repo,has rev dependencies,installable package,Not Important,Important,Important,Somewhat Important,Extremely important,Very Important,Somewhat Important,Very Important,Very Important,Not Important,Extremely important,Several times a year,Several times a month,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Yes,Yes,Several times a week,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Version range,Version range,Somewhat agree,Strongly agree,Skipped,Strongly agree,Somewhat agree,Somewhat agree,Degree,<5 years,5+ years,Great importance,Great importance,(mid-hi importance),Great importance,13.83,(mid-low importance),(mid-low importance),(mid-hi importance),(mid-low importance),7.02,7.75,Great importance,Great importance,(mid importance)
19,finished,user,Python/PyPi,user,<5 years,Very Important,Important,Extremely important,Important,Important,Extremely important,Somewhat Important,Important,Somewhat Important,Important,Important,Very confident,High influence,Highest influence,Medium influence,High influence,Medium influence,Strongly agree,I don't know,I don't know,I don't know,I don't know,I don't know,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,I don't know,Strongly disagree,TRUE,in repo,no rev dependencies,NA,Very Important,Important,Extremely important,Very Important,Very Important,Extremely important,Somewhat Important,Somewhat Important,Somewhat Important,Important,Very Important,Less than once a year,Skipped,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat agree,Strongly disagree,I don't know,Somewhat agree,NA,NA,NA,NA,NA,NA,No,No,Never,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Exact version number,Exact version number,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Strongly disagree,Coursework,5+ years,5+ years,Great importance,Great importance,Great importance,Great importance,14.5,Little importance,(mid-hi importance),(mid importance),(mid importance),7.71,7.75,Great importance,Great importance,Great importance
20,finished,developer,Python/PyPi,lead,<5 years,Somewhat Important,Important,Extremely important,Important,Very Important,Somewhat Important,Somewhat Important,Somewhat Important,Very Important,Community opposes this value,Somewhat Important,Slightly confident,Low influence,Medium influence,High influence,I don't know/Not Applicable,Lowest influence,Somewhat agree,Somewhat disagree,I don't know,Somewhat disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,TRUE,in repo,has rev dependencies,installable package,Important,Very Important,Somewhat Important,Important,Very Important,Somewhat Important,I oppose this value,Important,Important,Not Important,Important,Several times a year,Less than once a year,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Yes,Yes,Several times a week,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Strongly agree,Exact version number,Version range,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Coursework,5+ years,5+ years,Great importance,(mid-hi importance),(mid-low importance),(mid-hi importance),11.04,(mid-low importance),(mid-low importance),(mid-low importance),(mid-hi importance),6.9,7.75,Great importance,Great importance,(mid-low importance)
21,finished,developer,Node.js/NPM,central,<5 years,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Extremely important,Important,Somewhat Important,Very Important,Confident,Low influence,High influence,High influence,I don't know/Not Applicable,I don't know/Not Applicable,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,TRUE,in repo,has rev dependencies,installable package,Extremely important,Somewhat Important,Not Important,Extremely important,Extremely important,Extremely important,Somewhat Important,Important,Very Important,Very Important,Very Important,Never,Less than once a year,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,No,No,Never,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Version range,Version range,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Degree,<5 years,<5 years,(mid importance),Little importance,Little importance,Little importance,4.46,Little importance,Little importance,Little importance,(mid importance),4.13,7.75,Great importance,Great importance,Little importance
22,finished,developer,Node.js/NPM,lead,5+ years,Important,Very Important,Not Important,Very Important,Very Important,Not Important,Somewhat Important,Very Important,Important,Community opposes this value,Extremely important,Slightly confident,Medium influence,High influence,Highest influence,Low influence,Lowest influence,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,TRUE,in repo,has rev dependencies,installable package,Important,Important,Somewhat Important,Somewhat Important,Important,Very Important,Very Important,Very Important,Somewhat Important,Not Important,Somewhat Important,Less than once a year,Less than once a year,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Yes,Yes,Several times a year,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Somewhat agree,Version range,Version range,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Coursework,5+ years,5+ years,(mid-hi importance),(mid-hi importance),(mid-hi importance),(mid-hi importance),11.6,(mid importance),(mid importance),(mid importance),(mid-hi importance),8.99,5.65,(mid-hi importance),(mid importance),(mid importance)
23,finished,developer,Rust/Cargo,central,<5 years,Very Important,Important,Important,Somewhat Important,Very Important,Somewhat Important,I don't know,I don't know,Extremely important,Somewhat Important,Very Important,Confident,High influence,High influence,Highest influence,I don't know/Not Applicable,High influence,Skipped,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,I don't know,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,TRUE,in repo,has rev dependencies,installable package,Very Important,Somewhat Important,Very Important,Important,Extremely important,Very Important,Somewhat Important,Important,Important,Important,Extremely important,Never,Less than once a year,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Yes,Yes,Several times a month,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Version range,Version range,Somewhat disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Degree,5+ years,5+ years,(mid-hi importance),Great importance,Great importance,Great importance,13.72,(mid importance),(mid-hi importance),(mid-hi importance),(mid-hi importance),10.43,7.75,Great importance,Great importance,(mid-hi importance)
24,finished,developer,PHP/Packagist,lead,<5 years,Very Important,Important,Very Important,Extremely important,Important,Important,Important,Very Important,Somewhat Important,Important,Important,Confident,Medium influence,High influence,High influence,Highest influence,High influence,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,TRUE,in repo,has rev dependencies,installable package,Very Important,Very Important,Very Important,Very Important,Extremely important,Extremely important,Extremely important,Important,Very Important,Important,Extremely important,Never,Never,Strongly agree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,I don't know,Somewhat disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,No,No,Never,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Version range,Version range,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Skipped,<5 years,5+ years,Great importance,Great importance,Great importance,Great importance,14.5,(mid-low importance),(mid-hi importance),(mid importance),(mid-hi importance),9.04,6.75,(mid-hi importance),Great importance,Great importance
25,finished,developer,PHP/Packagist,lead,<5 years,Very Important,Somewhat Important,Extremely important,Important,Very Important,Extremely important,Extremely important,Not Important,Not Important,Extremely important,Somewhat Important,Slightly confident,Low influence,Medium influence,Highest influence,I don't know/Not Applicable,I don't know/Not Applicable,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,TRUE,self-published,has rev dependencies,installable package,Very Important,Somewhat Important,Extremely important,Extremely important,Important,Extremely important,Very Important,Not Important,Not Important,Not Important,Somewhat Important,Never,Several times a year,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,I don't know,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,No,No,Never,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Version range,Version range,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Degree,5+ years,5+ years,(mid-hi importance),(mid importance),Great importance,(mid importance),10.82,Little importance,(mid-hi importance),(mid-low importance),Little importance,5.61,6.75,(mid-hi importance),Great importance,(mid importance)
26,finished,user,"Erlang,Elixir/Hex",user,<5 years,Important,Not Important,Important,Extremely important,Important,Very Important,Extremely important,Very Important,Very Important,Very Important,Very Important,Slightly confident,High influence,High influence,Highest influence,I don't know/Not Applicable,Highest influence,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,TRUE,self-published,no rev dependencies,NA,Important,Somewhat Important,Very Important,Extremely important,Very Important,Extremely important,Important,Very Important,Very Important,Important,Extremely important,Several times a year,Skipped,NA,NA,NA,NA,NA,NA,NA,NA,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,NA,NA,NA,NA,NA,NA,No,No,Never,Strongly disagree,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,snapshot,snapshot,Strongly agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,None,5+ years,5+ years,Great importance,Great importance,Great importance,Great importance,14.5,(mid-hi importance),Little importance,(mid-hi importance),(mid importance),8.3,6.65,Great importance,(mid importance),Little importance
27,finished,developer,Node.js/NPM,central,<5 years,Extremely important,Important,Somewhat Important,Somewhat Important,Very Important,Not Important,Extremely important,Extremely important,Important,Somewhat Important,Extremely important,Very confident,Lowest influence,Highest influence,Low influence,I don't know/Not Applicable,Medium influence,Strongly agree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,TRUE,in repo,has rev dependencies,installable package,Extremely important,Somewhat Important,Very Important,Extremely important,Extremely important,Important,Extremely important,Extremely important,Somewhat Important,Extremely important,Extremely important,Several times a year,Several times a year,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Yes,Several times a day,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Exact version number,Version range,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,None,<5 years,5+ years,Great importance,Great importance,Great importance,Great importance,14.5,Great importance,Great importance,Great importance,Great importance,13.85,6.65,Great importance,(mid importance),(mid importance)
28,finished,user,Atom (plugins),lead,<5 years,Important,Important,Very Important,Very Important,Very Important,Somewhat Important,Not Important,Important,Important,Important,Important,Not confident,High influence,High influence,High influence,Medium influence,Low influence,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,TRUE,in repo,no rev dependencies,NA,Important,Extremely important,Not Important,Very Important,Extremely important,Important,Somewhat Important,Important,Very Important,Somewhat Important,Very Important,Several times a year,Skipped,NA,NA,NA,NA,NA,NA,NA,NA,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,NA,NA,NA,NA,NA,NA,Yes,No,Several times a year,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Version range,I don't know,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Degree,<5 years,5+ years,Great importance,(mid-hi importance),Great importance,(mid-hi importance),13.05,Little importance,Little importance,Little importance,(mid-hi importance),4.81,6.2,(mid-hi importance),(mid-hi importance),Little importance
